Unnamed: 0,Topic,Count,Name,Representation,Representative_Docs,GPT Label,Stage,Category,"Category (0 - Background, 1 - Oon before, 2 - Trigger, 3 - Oon after)",Label
92.0,197,125.0,197_kamala_kamala harris_harris_wins,"['kamala', 'kamala harris', 'harris', 'wins', 'vote', 'win', 'voted', 'voting', 'biden', 'president']","['I want Kamala to win, but I’ll never hear the end of it from my parents if she does.', 'I didn’t mention the republicans who have endorsed Kamala Harris.', 'Until tonight, when my father brought up Kamala Harris.', '**\xa0\xa0\xa0**He is the husband of KAMALA HARRIS!', 'She called Kamala Harris “stupid”.']",Negative Reactions to Kamala Harris and Political Opposition,3,Other Beliefs,3-Oon after-Belief,Pro-Trump
94.0,199,125.0,199_adrenochrome_blood_drink_drink blood,"['adrenochrome', 'blood', 'drink', 'drink blood', 'harvesting', 'harvest', 'blood libel', 'libel', 'children blood', 'elite']","['&#x200B;\n\nQuestion 2: Where is this Adrenochrome business coming from?', 'Then the adrenochrome stories started.', 'I asked them if they knew what adrenochrome was.', 'Even the whole adrenochrome crap.', 'The whole adrenochrome thing still real.']",Child Sex Trafficking and Satanic Sacrifice,3,Conspiracist Beliefs,3-Oon after-Belief,Child Harm and Elite Abuse Narratives
96.0,202,121.0,202_divorce_filed_divorced_married,"['divorce', 'filed', 'divorced', 'married', 'marriage', 'divorcing', 'option', 'papers', 'separated', 'signed']","['I don’t know if this is divorce worthy.', 'They didn’t divorce, but didn’t see each other often.', 'In the end, it didn’t weigh in at all around the divorce.', 'Divorce was brought up by me in the conversation.', 'I am the one who asked for the divorce.']",Family Estrangement and Disconnection,3,Social Circle,3-Oon after-Social,Social Deterioration and Relationship Strain
98.0,205,120.0,205_personality_lost mind_bitter_gotten much worse,"['personality', 'lost mind', 'bitter', 'gotten much worse', 'gotten much', 'temper', 'much worse', 'erratic', 'gotten worse', 'big part']","[""It just doesn't fit his personality."", 'It was a part of his personality.', 'He has to make it his personality.', 'Little by little his personality changed.', 'Is this just his personality now?']",Personality Changes,3,Behavior/action,3-Oon after-Behavior/action,Psychological and Emotional Shifts
99.0,209,118.0,209_pizzagate_pizza_gate_pizza gate,"['pizzagate', 'pizza', 'gate', 'pizza gate', 'wayfair', 'gates', 'bill gates', 'mentions', 'bill', 'basement']","['The whole pizza gate and all that.', 'Often they start with Pizzagate.', '(I thought Pizzagate definitely did.)', '""Did you hear about Pizzagate??""', 'He went into what was known as  pizzagate.']",Pizzagate,3,Conspiracist Beliefs,3-Oon after-Belief,Child Harm and Elite Abuse Narratives
100.0,212,117.0,212_asian_immigrant_hispanic_immigration,"['asian', 'immigrant', 'hispanic', 'immigration', 'mexican', 'immigrants', 'east', 'heritage', 'states', 'south america']","[""Important context:\n\n* I'm an only child\n* My mum is asian and I'm half asian."", 'My mom is an immigrant.', 'My mom, his wife (not for long) was an undocumented immigrant.', 'The funniest thing is we live in Asia and we are Asian.', 'My mom is a south asian immigrant, and she has a lot of problems.']",Asian and Immigrant Family Dynamics,1,Race,0-Background-Race,Asian and Immigrant Family Dynamics
103.0,220,113.0,220_military_veteran_army_navy,"['military', 'veteran', 'army', 'navy', 'served', 'soldier', 'combat', 'training', 'duty', 'officer']","['My dad is a retired military veteran.', 'I’am a 6 year military veteran and proud of it!', 'And that’s from a military family.', ""I'm in the military, so I have obligations."", 'I need to explain that I come from a military family.']",Military Involvement in Family,1,Military,0-Background-Military,Military Involvement in Family
108.0,228,109.0,228_science_scientific_scientist_scientists,"['science', 'scientific', 'scientist', 'scientists', 'trust', 'peer', 'studies', 'data', 'facebook youtube', 'anti science']","['I renounce science, I’ll renounce it all I fucking want, it’s not real!', 'I will never question science again.', 'I don’t believe in science, it’s not real!', 'Put that delicious science in my bodyyyyyy.', 'I talked them through all the science.']",Distrust in Science,3,Behavior/action,3-Oon after-Behavior/action,Epistemic Rigidity and Distrust in Expertise
110.0,232,109.0,232_links_link_send_internet,"['links', 'link', 'send', 'internet', 'youtube', 'sending', 'stop sending', 'youtube videos', 'sends links', 'instagram']","['She showed me the memes, the websites, the YouTube pages, she would send me links at 3 am back to back to back.', 'I’m curious.” She says she will definitely send me the YouTube links, but of course, none arrived.', 'She sends me links to YouTube videos All-The-Time.', 'She began sending me weird links to stuff I couldn’t understand.', 'She doesn’t have links to send.']",Disseminating QAnon Content and Persuading Others,3,Behavior/action,3-Oon after-Behavior/action,Alternative Media Use and Information Exposure
112.0,234,106.0,234_aliens_illuminati_ancient_alien,"['aliens', 'illuminati', 'ancient', 'alien', 'planet', 'harmless', 'built', 'earth', 'freemasons', 'sky']","['They were aliens sent to inslave us of course, but still real.', 'My brother believes the aliens are coming this week.', '• All newscasters are aliens.', 'Are the aliens real, yet?', ""It's a forcefield put there by the aliens.""]",Alien,3,Conspiracist Beliefs,3-Oon after-Belief,Apocalyptic and Eschatological Narratives
113.0,235,105.0,235_done research_researching_ethics_clarification,"['done research', 'researching', 'ethics', 'clarification', 'academic', 'sides', 'funding', 'reputable', 'insist', 'conclusions']","[""You scolded me, told me that you've done your own research and you're a grown woman who can make her own choices."", '“Oh you haven’t done your research how would you know, well for starters it is the internet and people on the internet that have made up these stories and fantasies that are very easily spread over the net , fantasies that can be created and reinvented at the click of a button.', ""I insist 'you've done the research can't you sum up how the shift happens in two sentences?"", 'I hate how they claim to have done their own ‘research’ when the general population doesn’t even  have free access to research papers from academic journals.', 'And that I probably hadn’t done my research.']",Insistence on Personal Research as Evidence,3,Behavior/action,3-Oon after-Behavior/action,Epistemic Rigidity and Distrust in Expertise
115.0,240,103.0,240_rent_homeless_financially_cleared,"['rent', 'homeless', 'financially', 'cleared', 'quit job', 'pay', 'signed', 'paying', 'quit', 'finances']","[""He's been homeless for about 3 years now and moved to my grandma's holiday home basically in the middle of nowhere because he couldn't afford an expensive AF rent."", 'He has been paying me rent.', 'I have a friend who I’ve known for many years who has been living rent free in my apartment w me because he’s homeless.', 'He will rent as well as he waits for the qfs to come his way .', ""He even said if he moved all his junk out and completely cleared the house they'd forget the debt in rent, because due to how rent works we were paying 1000s less than we should have because they were not allowed to change rent too much on existing residents and our property had skyrocketed.""]",Financial Struggles and Housing Instability,1,Living Condition,0-Background-Living condition,Financial Struggles and Housing Instability
116.0,241,103.0,241_bleach_mms_cure_miracle,"['bleach', 'mms', 'cure', 'miracle', 'bottles', 'solution', 'drinking', 'drink', 'industrial', 'cures']","['He was the kind to believe and willingly take bleach as a cure.', 'It is aqueous sodium chlorite mixed with an acid (like lemon juice) and it makes chlorine dioxide, an industrial bleach used in low amounts to treat water and bleach paper pulp.', ""I did some research on QAnon, and what caught my attention was this:\n\n [https://nymag.com/intelligencer/2020/01/qanon-supporters-are-drinking-bleach-to-fend-off-coronavirus.html](https://nymag.com/intelligencer/2020/01/qanon-supporters-are-drinking-bleach-to-fend-off-coronavirus.html) \n\nSo, I'm concerned that my friend might be drinking bleach."", 'She has tried to get me to drink bleach before, toting what she said was a $400 bottle of ""MMS"" aka diluted bleach as a cure all for everything, and one time she offered to rub some CBD cream on my back which was killing me at the time and tried to use some non sanctioned substance with it, which I asked her not to.', ""I've posted here before about her drinking bleach, etc.""]",Drinking Bleach as a Cure,3,Conspiracist Beliefs,3-Oon after-Belief,Medical Mistrust
118.0,243,101.0,243_jab_jabbed_jabs_mrna,"['jab', 'jabbed', 'jabs', 'mrna', 'additional', 'least one', 'shot', 'booster', 'dose', 'pregnant']","[""They're telling the unjabbed to take the jab because the jab works."", ""In this world, you won't take the jab."", 'This is BIG NEWS against the jab!', 'Most of his friends have gotten the jab.', ""And then they're telling the jabbed to get a booster jab because the jab didn't work.""]",Vaccine Refusal and Hesitancy,3,Behavior/action,3-Oon after-Behavior/action,Public Health Mistrust and Resistance
122.0,248,100.0,248_epstein_jeffrey_island_clinton,"['epstein', 'jeffrey', 'island', 'clinton', 'accusations', 'release', 'sex', 'bill clinton', 'clintons', 'donald']","['she didn’t even know that’s what Epstein was arrested for.', 'Even with the latest Epstein leak they don’t care.', ""So for example, let's look at Epstein."", 'She had (at some point) talked about Trump, school choice, and even Epstein.', 'Especially his time with Epstein?""']",Epstein-related Beliefs,3,Other Beliefs,3-Oon after-Belief,Child Harm and Elite Abuse Narratives
123.0,249,100.0,249_qmom_vaccine_vaccinated_get vaccinated,"['qmom', 'vaccine', 'vaccinated', 'get vaccinated', 'qparents', 'qdad', 'got vaccinated', 'talking points', 'anti vaccine', 'would die']","['QMom still believes all vaccinated will be dead in 5 years even though it’s already been 3 years and everything is normal, QDad thinks vaccinated people are exhaling nanobots into the air that will one day turn people into government controlled zombies.', 'I pray for your soul\n\nme:\n\nI pray for your health\n\nqmom:\n\nok well haven’t been sick at all and I am protected by god thru praying the rosary\n\nme:\n\nWell I hope you’re right\n\nqmom:\n\ntell me, if the cdc right now announced we are going to look for a new vaccine for say Ebola to try out, would you do it?', 'I just keep thinking about how my Qmom told me I would die if I got this vaccine.', 'QMom:  I am choosing not to get vaccinated at this time.', ""My sister and I are vaccinated but my Qmom doesn't know.""]",Pandemic Misinformation,3,Other Beliefs,3-Oon after-Belief,Medical Mistrust
126.0,256,98.0,256_world order_new world order_new world_global,"['world order', 'new world order', 'new world', 'global', 'agenda', 'un', 'world war', 'globalist', 'one world', 'economic']","['So does that mean the unvaxed people are going to be a part of the new world order?', 'This way, they will apparently create a new world order, where noone will have to work and there will be infinite money for everyone.', 'He thinks the UN is part of the new world order.', 'No to new world order.', 'Apparently Zelenskyy is part of the New World Order now.']",New World Order,3,Conspiracist Beliefs,3-Oon after-Belief,Anti-Government and Institutional Distrust
128.0,265,97.0,265_fascist_fascism_fascists_rise,"['fascist', 'fascism', 'fascists', 'rise', 'democracy', 'civil war', 'war', 'lot like', 'civil', 'threatens']","['Being against fascism is ""woke"".', ""On the other hand, I'm an anti-fascist, and he is a fully committed fascist."", 'I said fascism, she said no.', 'I said fascism, she said it’s not.', 'Your words and beliefs are fascist.']",Fascism Accusations and Rhetoric,3,Behavior/action,3-Oon after-Belief,Radical Ideological Alignment and Intolerance
131.0,272,94.0,272_nc_already gone_low contact_limited contact,"['nc', 'already gone', 'low contact', 'limited contact', 'option', 'reasons', 'low', 'limited', 'reaching', 'november']","['I am LC with them but cannog to NC,.', ""I don't know how to be NC."", 'I had to go NC.', 'We went NC after that.', 'I’m going NC with my Q father.']",Family Estrangement and Disconnection,3,Social Circle,3-Oon after-Social,Social Deterioration and Relationship Strain
132.0,273,94.0,273_rapture_awakening_great awakening_prophecy,"['rapture', 'awakening', 'great awakening', 'prophecy', 'end times', 'prophecies', 'believers', 'fails', 'jesus', 'prophet']","['Each storm made me fear that the rapture was happening.', 'And What exactly does the great awakening mean to you?', 'A ""great awakening"" of our own, if you will.', ""But that's not enough for them  \n\n\nTake a look at the rapture."", 'That’s when the rapture is coming.']",Religious End Times,3,Conspiracist Beliefs,3-Oon after-Belief,Apocalyptic and Eschatological Narratives
133.0,277,93.0,277_brainwashed_completely brainwashed_mainstream media_mainstream,"['brainwashed', 'completely brainwashed', 'mainstream media', 'mainstream', 'liberal', 'media know', 'always say', 'accuses', 'dumb', 'know truth']","['She was worried I was being brainwashed.', ""We couldn't reason with her because all she says is that we're brainwashed."", 'Basically she’s been brainwashed by her husband of 7 years.', 'She thinks everyone is brainwashed.', 'She thinks I\'m a ""mindless, spineless, brainwashed SJW"" who ""can\'t think for herself"".']",Framing Others as Indoctrinated,3,Behavior/action,3-Oon after-Behavior/action,Interpersonal Harm and Moral Disregard
136.0,283,92.0,283_good guy_funny_hearted_nice,"['good guy', 'funny', 'hearted', 'nice', 'good man', 'demeanor', 'kind person', 'gentle', 'empathetic', 'used kind']","['Had a few blind spots, as do most humans, but he really was a good guy.', 'But he was a good guy previously.', 'He is a good guy and always was, but was never quick on the uptake.', 'I remember him being a good guy.', 'Why do you think he is so lauded as a good guy?']",Perceived Personal Goodness,1,Personality,1-Oon before-Personality,Perceived Personal Goodness
140.0,288,89.0,288_father law_crazy beliefs_boy_divorced,"['father law', 'crazy beliefs', 'boy', 'divorced', 'extreme beliefs', 'beliefs even', 'religion', 'belief', 'religious beliefs', 'talk dad']","[""My(23) oldest brother(35) has always been farther right than most people due to his intense Christian beliefs, but since Covid, he's become heavily indoctrinated by his wife's even more religiously extreme Qfamily."", 'I feel like I could make daily posts about my dads crazy beliefs.', 'I don’t even talk to my dad anymore because of his crazy beliefs, but that’s a discussion for some other time.', ""I really don't think I will ever understand my father on a deeper level, the amount of mental gymnastics he does on a daily basis in order to believe the things he does defies belief."", 'However, my father in law is an even bigger Qanon/MAGA/Antivax believer, and I currently have an arrangement with my gf 22f, that I dont visit anymore because his harassing is to triggering for me and everywhere are reminders of his beliefs, he even put stickers on road signs everywhere in his small village.']",Family Estrangement and Disconnection,3,Social Circle,3-Oon after-Social,Social Deterioration and Relationship Strain
141.0,292,87.0,292_pill_red pill_red_pilled,"['pill', 'red pill', 'red', 'pilled', 'red pilled', 'pills', 'blue', 'know first', 'rehab', 'matrix']","['This is all just what he thinks, nobody is trying to red pill you or anything.', 'She tries to red pill everyone.', 'We also told me he\'s managed to ""red pill"" my mum and he wants to red pill me.', ""I just don't know why he's obsessed with this red pill stuff."", 'He was starting to spead the message and ""red pill"" everyone he could.']",Disseminating QAnon Content and Persuading Others,3,Behavior/action,3-Oon after-Behavior/action,Alternative Media Use and Information Exposure
142.0,294,87.0,294_computer_spends_hours day_internet,"['computer', 'spends', 'hours day', 'internet', 'watching videos', 'games', 'video games', 'youtube', 'retired', 'watching youtube']","['So instead he used all his time in front of the computer, playing video games and listening to these YT people.', 'He was on his phone & computer.', 'He’s on his computer or using the TV (or even both at the same time) for upwards of 12 hours a day.', 'He’s on his computer or using the TV (or even both at the same time) for upwards of 12 hours a day.', 'I don’t mean for a few hours, I mean he’s got an iPad on YouTube for 8-12 hours a day when he’s not playing video games.']",Excessive Screen Time and Online Content Consumption,3,Behavior/action,3-Oon after-Behavior/action,Alternative Media Use and Information Exposure
143.0,295,86.0,295_tiktok_tik_tok_tik tok,"['tiktok', 'tik', 'tok', 'tik tok', 'tiktoks', 'source information', 'teenagers', 'source', 'spend hours', 'dance']","['https://vm.tiktok.com/ZMd4By9hV/\n\nMy other social media: www.linktr.ee/NathanTheCreator\n\nThank you.', 'can you send me LITERALLY any source other than tiktok and he can’t!!!!', 'I heard about this group from TikTok and I can’t believe how similar all these stories are to my friend.', 'Everything he knows is what my mom tells him from TikTok and FaceBook.', 'I don’t even HAVE tiktok.']",TikTok,2,Social Media,2-Trigger-Social Media,TikTok
145.0,300,86.0,300_get job_retirement_income_quit,"['get job', 'retirement', 'income', 'quit', '30 years', 'quit job', 'benefits', 'career', 'works', 'unemployment']","['It’s placed immense strain on her to work in corporate for 30+ years and still not see an end in sight.', 'She is not very worried about getting a new job (she is recently unemployed) and is relying on EBT benefits and unemployment.', 'We have tried to tell her to try and get her job back but she refuses (also I suspect because of her being so into Qanon, her coworkers were uncomfortable and they probably won’t hire her back.', ""She's never had a real career and has been a SAHM for over 30 years."", ""It was only supposed to be 4 months but she didn't get a job for three years and then only worked a year-and-a-half before she quit after Trump got elected.""]",Employment Instability and Career Disruption,3,Employment,3-Oon after-Job,Lifestyle Changes Driven by Conspiratorial Beliefs
316.0,315,80.0,315_told husband_baffled_ignoring_crazy things,"['told husband', 'baffled', 'ignoring', 'crazy things', 'good job', 'repeating', 'engaging', 'avoiding', 'things said', 'responsibility']","['I can\'t remember everything that was said..\n\nShe would of course also keep bringing up the same stuff over and over again like she doesn\'t understand and still does not see or understand what we mean by anything we have said and is not happy and also baffled at the fact that me and my husband are treating her ""like a stranger"".', 'My husband was sitting beside me the whole time and heard everything; we agreed that while I was talking with her, it felt like traveling back in time in a time machine, and absolutely *nothing* had changed with her or her mentality...', ""She yell asked how much does she need to pay for the internet and angrily smacked 20€ on top of my computer so we tried explaining it's not about the money but she was too pissed to listen and in attack mode so then my husband tried talking some sense into her, repeating more or less the same things we had said before in a more direct way, she kept sitting and smiling to herself in my opinion a VERY CREEPY way and kept asking for her internet back.""]",Communication Tension and Breakdown,3,Behavior/action,3-Oon after-Behavior/action,Social Deterioration and Relationship Strain
152.0,316,79.0,316_moon_landing_moon landing_faked,"['moon', 'landing', 'moon landing', 'faked', 'fake', 'earth', 'earth flat', 'flat', 'cgi', 'hollow']","['The moon landing is fake.', 'Believes moon landing is fake.', 'The classics like chemgtrails and fake moon landing.', '), moon landing is fake, you name it.', 'The moon landing was fake.']",Fake Moon Landing,3,Conspiracist Beliefs,3-Oon after-Belief,Science and Technology Mistrust
153.0,317,79.0,317_chat_group chat_whatsapp_family chat,"['chat', 'group chat', 'whatsapp', 'family chat', 'family group', 'family group chat', 'chats', 'group chats', 'facebook group', 'since left']","[""So I left my family's group chat."", 'The group chat has been quiet since then.', 'We barely text in that group chat anymore either.', 'The group chat is the worst it’s ever been.', ""Someone has an android in the group chat and for some reason, you can't leave it the way you do in an iMessage chat.""]",Communication Tension and Breakdown,3,Social Circle,3-Oon after-Social,Social Deterioration and Relationship Strain
158.0,323,77.0,323_custody_50_legal_court,"['custody', '50', 'legal', 'court', 'agreement', 'battle', 'lawyer', 'ordered', 'formal', 'sole']","[""Or they say we should just get custody, and they don't understand that it is not likely we'd ever get full custody and they don't understand the harm it would do to our child to go through a pointless custody battle."", 'If one has children, child custody is a really serious issue.', 'Now we will share custody, and who knows what he will be telling them without me around.', 'And before anyone says, “full custody”.', 'But they won custody and moved right after.']",Family Estrangement and Disconnection,3,Social Circle,3-Oon after-Family,Social Deterioration and Relationship Strain
159.0,324,76.0,324_abuse_emotional_abused_emotional abuse,"['abuse', 'emotional', 'abused', 'emotional abuse', 'verbal', 'abuser', 'physical', 'abusive', 'psychological', 'obligation']","[""But this sort of emotional abuse isn't new."", '**Mental/emotional abuse** is probably the most common type with constant rants and insults, but **physical abuse** is also possible.', 'Emotional and physical abuse was always there on some level.', 'However, there is a lot of emotional and (some) physical abuse.', ""I can't take this abuse.""]",Emotional and Physical Abuse,3,Behavior/action,3-Oon after-Behavior/action,Interpersonal Harm and Moral Disregard
160.0,325,76.0,325_booster_scheduled_boosted_gp,"['booster', 'scheduled', 'boosted', 'gp', 'eta', 'wants get', 'killing people', 'effects', 'promise', 'dying']","['Well don\'t get the booster!!""', 'They don’t work because we constantly need booster.', 'So she’s not getting the booster.', 'I haven’t gotten my booster yet but will soon; they have.', 'Did he have his booster? ""']",Vaccine Refusal and Hesitancy,3,Behavior/action,3-Oon after-Behavior/action,Public Health Mistrust and Resistance
162.0,330,74.0,330_ages_two children_want kids_13,"['ages', 'two children', 'want kids', '13', 'two kids', 'beautiful', 'boys', '12', 'want children', '15']","['I have two grandchildren, ages 13 and 15.', 'I have two kids, ages 11 and 12.', 'We have two children 15 and 13.', 'As I said, we have 8 kids, 4 boys (ages 24, 20, 13 and 11) and 4 girls (ages 23, 21, 17 and 15).', '  \nI (29F) am a live-in nanny, the family I nanny for has 6 kids: 3 girls (ages 15, 14, and 10) and 3 boys (ages 13, 12, and 8).']",Family with Children,1,Family,0-Background-Family,Family with Children
164.0,333,73.0,333_virus_lab_china_viruses,"['virus', 'lab', 'china', 'viruses', 'wuhan', 'chinese', 'man made', 'destroy', 'labs', 'dems']","[""It's fake but it's a mutated flu virus."", 'Of course there was a video he sent to me a few weeks before about China making the virus to destroy us.', 'With all this misinformation about the virus!', 'If this virus could do this to me, what could it do to them?', 'Now the virus is doing the same.']",Pandemic Misinformation,3,Conspiracist Beliefs,3-Oon after-Belief,Medical Mistrust
167.0,336,73.0,336_michelle_michelle obama_obama_gay,"['michelle', 'michelle obama', 'obama', 'gay', 'secretly', 'trans', 'michael', 'mike', 'shoulders', 'staged']","['He believes many conspiracy theories that are already circling such as: \n\n- Michelle Obama is a man.', 'She thinks Michelle Obama is a man.', '*(How could they believe Michelle Obama is a man??', 'If you believe Michelle Obama is a man, truly, IDGAF.', 'Before this  She said Michelle Obama was really man.']",Michelle Obama Being a Man,3,Conspiracist Beliefs,3-Oon after-Belief,Defamatory Conspiracy Targeting Public Figures
170.0,342,71.0,342_social media_media know_consumption_twitter,"['social media', 'media know', 'consumption', 'twitter', 'free speech', 'cheap', 'platform', 'democracy', 'companies', 'facebook']","['I hate Facebook and social media with my heart, even though I need that in order to work.', '“Social media\u2009.\u2009.\u2009.', 'You listen to social media.', ""It can't be from social media."", '(Well because of social media of course).']",Social Media (in general),2,Social Media,2-Trigger-Social Media,Social Media (in general)
171.0,343,71.0,343_holistic_medicine_alternative medicine_chiropractor,"['holistic', 'medicine', 'alternative medicine', 'chiropractor', 'alternative', 'supplements', 'spirituality', 'teeth', 'doctors', 'wellness']","['My (31f) mom has always been into alternative medicine, supplements and healthy eating etc.', 'Essentially, my mom was always into holistic medicine and believe in reducing our technology use.', ""Not that I don't believe in holistic practices as well but I believe in science, holistic medicine and practice has its place as well."", 'the most recent is “holistic” medicine.', 'I married into a family that taught me about holistic living and alternative medicine that truly helped me so so much.']",Holistic and Alternative Medicine Beliefs,1,Alternative Belief,0-Background-Belief,Holistic and Alternative Medicine Beliefs
172.0,344,71.0,344_cabal_part cabal_claim_global cabal,"['cabal', 'part cabal', 'claim', 'global cabal', 'blood drinking', 'cabals', 'one world', 'stealing', 'controls', 'wikipedia']","[""The cabal depends on the conspiracies to support it's existance."", 'He said he knew about the cabal and the children and all of that.', ""It's all about the 'cabal' and the Rothechilds and the 'democraps'."", 'I guess we were supposed to believe that the cabal did it all?', 'The Luciferian Cabal will fall.']","The Cabal and ""The Storm""",3,Conspiracist Beliefs,3-Oon after-Belief,Apocalyptic and Eschatological Narratives
173.0,346,70.0,346_degree_graduated_college_masters,"['degree', 'graduated', 'college', 'masters', 'high school', 'degrees', 'education', 'art', 'classes', 'dance']","['Graduated first in her college class suma cum laud.', 'Kiddo graduated early from high school to pursue her art career.', 'This woman has a masters degree.', 'She graduated from a good college and went into finance.', 'I have no idea how she has a college degree, made it to college, graduated from high school or even MADE IT to high school.']",Academic Credentials and Graduation Milestones,1,Education,0-Background-Education,Academic Credentials and Graduation Milestones
177.0,358,66.0,358_doom_doomsday_end times_end world,"['doom', 'doomsday', 'end times', 'end world', 'world ending', 'apocalypse', 'film', 'ending', 'technology', 'prepping']","['Just one impending doom after another.', 'I’m so tired of it always being doomsday.', ""I'm so tired of the doom and gloom, when in reality, there's never been a better time to be alive."", 'They love gloom and doom stuff.', ""When I saw the film ''Leave the World Behind'' for the first time in my life I saw a film that had barely been released and the conspiracists claim that this movie is a more of a ''predictive programming'' and now I see a lot of people all around the world from various countries talking that a global cyber attack perpetuated by the World Economic Forum will now happen in April this year, to give you an idea, the film ends as we know with the protagonist finding a deer in the forest, and a few days later an outbreak of a zombie virus began which only occurs in deers, something that is not yet known whether it is transmitted to humans, and people start to get paranoid because they think they will become a zombie and everyone will die\r  \n\r  \nBut the worst isn't even that, if you notice carefully, coincidentally all the films in which they claim to be ''predictive programming'' are of the apocalyptic and dystopian genre such as Black Mirror, Matrix, Bladerunner, Terminator, V for Vendetta and several others, but there is one that is very well known which is ''Omen'', that famous solar storm film directed by Nicholas Cage, these people, the vast majority of them evangelical Christians, as they believe that we are at the end of times and that Jesus will return in a few years, they say that the scene of the world being destroyed by the solar storm and the children going to an uninhabitable planet to start their lives over from scratch is a reference to the apocalypse, as various disasters are happening around the world more frequently and more strong and that Jesus will return at the end of the Last Judgment, raptures the believers and the Church and we live forever in Heaven known as New Jerusalem or heavenly Jerusalem and God made new heavens and a new Earth, I noticed that this scene has some allusions that they kind of ''predicted'', like the Deep Water Horizon collapse in 2010 for example, people tell us not to be afraid but they say that the world is going to end just to panic people\r  \n\r  \nBut now getting to the main part of the subject, I wanted to talk about a number, not whether it was intentional or not, which is ''923'', this number appears in hundreds of famous films in supposedly hidden messages, and which these conspiracists claim that Something very bad will happen in the world on September 23rd, but in some films, it presents some years like 2021, 2023, 2026, etc.""]",Apocalyptic and Predictive Programming,3,Conspiracist Beliefs,3-Oon after-Belief,Apocalyptic and Eschatological Narratives
178.0,361,66.0,361_divorced_parents divorced_split_since parents,"['divorced', 'parents divorced', 'split', 'since parents', 'divorce', 'mom dad', 'separated', 'mom first', 'parents getting', 'mom since']","['Our parents divorced when I was a baby.', 'i’m a college freshmen and my parents are divorced.', 'My (32m) parents divorced when I was 8.', 'My parents are divorced and it was not pretty.', 'EDIT: My parents divorced when I was a child.']",Parental Divorce Experiences,1,Family,0-Background-Family,Parental Divorce Experiences
179.0,362,66.0,362_gets angry_anger_really angry_got angry,"['gets angry', 'anger', 'really angry', 'got angry', 'mood', 'get angry', 'frustration', 'authorities', 'angry time', 'delusions']","['In the latest series of texts, it is apparent that he was trying his best to hold back his obvious frustration, anger, and sadness.', 'He just gets more angry and pushes all your buttons.', '\\-  He gets angry more easily in arguments, yelling and swearing more.', 'He gets angry if his knowledge is challenged.', 'His mood is very different and he gets more angry when we disagree on what is happening in the world.']",Increased Aggression and Hostility Toward Others,3,Behavior/action,3-Oon after-Behavior/action,Interpersonal Harm and Moral Disregard
182.0,368,65.0,368_trust plan_plans_part plan_00,"['trust plan', 'plans', 'part plan', '00', 'coast', 'trust', 'wait', 'window', 'till', 'blow']","['He keeps saying ‘trust the plan’ and ‘plan status: trusted’.', 'You were told to be patient and trust the plan, TRUST GOD, GOD ALWAYS WINS!', 'How long will you ‘trust the plan’?', 'Trust the plan and all that.', '""Trust the plan,"" they reassure each other.']","""Trust the Plan""",3,Other Beliefs,3-Oon after-Belief,Apocalyptic and Eschatological Narratives
183.0,369,64.0,369_uk_europe_ireland_england,"['uk', 'europe', 'ireland', 'england', 'european', 'germany', 'countries', 'btw', 'british', 'add']","['This is in Europe, by the way.', 'we are all from the UK.', 'So I live in the UK.', 'Im American but have many friends in the UK and various countries in Europe.', 'We are originally from Europe and living in the UK at the moment.']",Non-American Perspectives,1,Geography,0-Background-Geography,Non-American Perspectives
184.0,371,64.0,371_boomers_boomer_generation_age,"['boomers', 'boomer', 'generation', 'age', 'people age', 'aged', 'range', 'baby', 'homes', 'source']","['My mom is a boomer.', 'Boomers were 19-37, parent age.', 'Q boomers are some very strange people.', 'In short I was basically like ""lol, Boomers amiright??""', 'Which is stupid but whatever, boomers gonna boom.']",Boomer Generation,1,Generation,0-Background-Generation,Boomer Generation
261.0,375,64.0,,"['abortion', 'abortions', 'birth', 'michigan', 'women', 'ban', 'birth control', 'gov', 'rights', 'term']","['I know she had an abortion in college.', 'How does she fare with him talking about how all women who have had abortions are evil?', 'She made a variety of claims that are easily disproven with sources (abortions cause future birthing complications, abortions used to be rare and are now ""used like birth control,"" abortions are more dangerous than birth and any birth that is dangerous was because of a previous botched abortion, that the exceptions of rape, incest and life of the mother solve all issues) and I made a variety of claims myself with citations (abortions have actually been declining since the 70s, the unsafe abortions she\'s describing are the result of poor access--the very thing she supports--that exceptions for the life of the mother have a chilling effect that still kills women due to a delay of care, that safe abortions very rarely impact future childbirth, that childbirth is far more dangerous than any safe method of abortion, and so on).']",Abortion Opposition,3,Other Beliefs,3-Oon after-Belief,Policy Defiance
